STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,ACMC,ACMH,ACSC,ACSH,AWND,FMTM,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV03,WV20
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1958-12-30,,,,,,,,0.00,,0.0,0.0,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1958-12-31,,,,,,,,0.04,,0.1,0.0,,31,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,1,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-01-01,,,,,,,,0.27,,0.0,0.0,,41,31,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-01-02,,,,,,,,0.00,,0.0,0.0,,37,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-01-03,,,,,,,,0.07,,0.5,0.0,,38,20,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,1,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-01-04,,,,,,,,0.14,,2.1,3.0,,22,3,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-01-05,,,,,,,,0.00,,0.0,3.0,,11,-5,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-01-06,,,,,,,,0.00,,0.0,3.0,,20,-1,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-01-07,,,,,,,,0.00,,0.0,3.0,,23,14,,,,,,,0.2,,,,,,,,,,,,,1,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-01-08,,,,,,,,0.00,,0.0,2.0,,27,13,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-01-09,,,,,,,,0.00,,0.0,2.0,,22,9,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-01-10,,,,,,,,0.00,,0.0,2.0,,27,12,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-01-11,,,,,,,,0.00,,0.0,2.0,,25,9,,,,,,,0.2,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-01-12,,,,,,,,0.00,,0.0,2.0,,36,16,,,,,,,0.1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-01-13,,,,,,,,0.00,,0.0,1.0,,35,26,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-01-14,,,,,,,,0.05,,0.0,1.0,,37,23,,,,,,,,,,,,,1,,,,,1,,1,,,,,1,,1,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-01-15,,,,,,,,0.01,,0.1,0.0,,37,27,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,1,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-01-16,,,,,,,,0.12,,1.7,1.0,,27,10,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-01-17,,,,,,,,0.03,,0.3,2.0,,16,6,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-01-18,,,,,,,,0.00,,0.0,2.0,,17,0,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-01-19,,,,,,,,0.17,,2.3,4.0,,34,7,,,,,,,0.3,,,,,,1,,,,,,,,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-01-20,,,,,,,,0.40,,2.1,3.0,,31,5,,,,,,,0.3,,,,,,1,,,1,,1,,1,,,,,1,,1,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-01-21,,,,,,,,0.90,,0.0,4.0,,35,25,,,,,,,0.5,,,,,,1,,,,,1,,1,,,,,1,,1,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-01-22,,,,,,,,0.00,,0.0,3.0,,26,7,,,,,,,0.6,,,,,,,,,,,,,,1,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-01-23,,,,,,,,0.00,,0.0,3.0,,9,3,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-01-24,,,,,,,,0.11,,1.6,3.0,,37,6,,,,,,,0.6,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-01-25,,,,,,,,0.23,,2.7,5.0,,36,15,,,,,,,0.7,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-01-26,,,,,,,,0.00,,0.0,7.0,,19,-1,,,,,,,1.0,,,,,,,,,,,,,1,,,,,,,,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-01-27,,,,,,,,0.00,,0.0,7.0,,24,1,,,,,,,1.0,,,,,,,,,,,,,1,,,,,,,,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-01-28,,,,,,,,0.00,,0.0,7.0,,31,6,,,,,,,0.8,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-01-29,,,,,,,,0.21,,0.0,5.0,,37,9,,,,,,,0.8,,,,,,1,,,,,1,,1,,,,,1,,1,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-01-30,,,,,,,,0.08,,0.0,4.0,,39,22,,,,,,,1.1,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-01-31,,,,,,,,0.00,,0.0,3.0,,22,7,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-02-01,,,,,,,,0.00,,0.0,3.0,,14,3,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-02-02,,,,,,,,0.00,,0.0,3.0,,19,-3,,,,,,,1.1,,,,,,,,,,,,,1,,,,,,,,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-02-03,,,,,,,,0.23,,0.0,3.0,,36,10,,,,,,,1.1,,,,,,1,,,1,,1,,1,,,,,1,,1,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-02-04,,,,,,,,0.00,,0.0,3.0,,34,24,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,1,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-02-05,,,,,,,,0.00,,0.0,3.0,,32,16,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-02-06,,,,,,,,0.00,,0.0,3.0,,17,9,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-02-07,,,,,,,,0.00,,0.0,3.0,,38,15,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-02-08,,,,,,,,0.00,,0.0,2.0,,36,15,,,,,,,1.3,,,,,,,,,,,1,,,,,,,,,1,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-02-09,,,,,,,,0.53,,0.0,2.0,,37,16,,,,,,,1.4,,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-02-10,,,,,,,,0.37,,0.0,2.0,,37,21,,,,,,,1.4,,,,,,1,,,,,1,,,,,,,,,1,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-02-11,,,,,,,,0.00,,0.0,2.0,,23,12,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-02-12,,,,,,,,0.02,,0.0,2.0,,42,18,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,1,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-02-13,,,,,,,,0.07,,0.0,1.0,,40,31,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,1,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-02-14,,,,,,,,0.30,,0.0,1.0,,39,31,,,,,,,,,,,,,1,,,1,,1,,1,,,,,1,,1,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-02-15,,,,,,,,0.02,,0.1,0.0,,32,25,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-02-16,,,,,,,,0.00,,0.0,0.0,,35,29,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-02-17,,,,,,,,0.05,,0.5,0.0,,34,26,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-02-18,,,,,,,,0.04,,0.4,1.0,,27,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-02-19,,,,,,,,0.00,,0.0,1.0,,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-02-20,,,,,,,,0.00,,0.0,1.0,,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-02-21,,,,,,,,0.00,,0.0,1.0,,33,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-02-22,,,,,,,,0.00,,0.0,0.0,,42,17,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-02-23,,,,,,,,0.31,,2.0,2.0,,38,31,,,,,,,0.3,,,,,,1,,,1,,,,1,,,,,1,,1,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-02-24,,,,,,,,0.00,,0.0,0.0,,32,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-02-25,,,,,,,,0.00,,0.0,0.0,,38,18,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-02-26,,,,,,,,0.05,,0.0,0.0,,41,28,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-02-27,,,,,,,,0.00,,0.0,0.0,,35,28,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-02-28,,,,,,,,0.00,,0.0,0.0,,39,33,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-03-01,,,,,,,,0.00,,0.0,0.0,,41,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-03-02,,,,,,,,0.00,,0.0,0.0,,43,27,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-03-03,,,,,,,,0.02,,0.2,0.0,,41,30,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-03-04,,,,,,,,0.00,,0.0,0.0,,36,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-03-05,,,,,,,,0.36,,0.0,0.0,,38,27,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,1,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-03-06,,,,,,,,0.59,,0.2,0.0,,41,26,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-03-07,,,,,,,,0.00,,0.0,0.0,,29,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-03-08,,,,,,,,0.23,,1.8,0.0,,35,19,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-03-09,,,,,,,,0.02,,0.2,1.0,,35,21,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-03-10,,,,,,,,0.00,,0.0,2.0,,37,14,,,,,,,0.1,,,,,,,,,,,,,1,,,,,,,,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-03-11,,,,,,,,0.00,,0.0,0.0,,32,20,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-03-12,,,,,,,,0.00,,0.0,0.0,,36,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-03-13,,,,,,,,0.05,,1.0,1.0,,39,21,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-03-14,,,,,,,,0.10,,0.0,1.0,,39,30,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-03-15,,,,,,,,0.22,,0.1,0.0,,52,27,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-03-16,,,,,,,,0.00,,0.0,0.0,,35,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-03-17,,,,,,,,0.16,,3.1,3.0,,32,20,,,,,,,0.1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-03-18,,,,,,,,0.00,,0.0,1.0,,37,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-03-19,,,,,,,,0.00,,0.0,0.0,,62,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-03-20,,,,,,,,0.00,,0.0,0.0,,60,38,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-03-21,,,,,,,,0.00,,0.0,0.0,,43,15,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-03-22,,,,,,,,0.00,,0.0,0.0,,32,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-03-23,,,,,,,,0.00,,0.0,0.0,,60,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-03-24,,,,,,,,0.00,,0.0,0.0,,68,30,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-03-25,,,,,,,,0.00,,0.0,0.0,,53,32,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-03-26,,,,,,,,0.29,,0.0,0.0,,42,35,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,1,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-03-27,,,,,,,,0.24,,0.2,0.0,,40,24,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,1,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-03-28,,,,,,,,0.00,,0.0,0.0,,38,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-03-29,,,,,,,,0.07,,0.0,0.0,,45,25,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-03-30,,,,,,,,0.02,,0.0,0.0,,45,36,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,1,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-03-31,,,,,,,,0.04,,0.0,0.0,,62,38,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1959-04-01,,,,,,,,1.21,,0.0,0.0,,55,35,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,1,,,,,,,
